#{"t_start": 1773854220.6567492, "env_id": "ALE/Galaxian-v5"}
r,l,t
550.0,2153,1.849586
1280.0,3241,3.652916
400.0,1345,4.280273
840.0,2321,5.619499
1070.0,3289,7.2388
410.0,1361,7.926955
990.0,2777,8.958268
620.0,1945,9.891829
1450.0,3497,11.709768
670.0,2041,12.569026
300.0,1057,13.290027
1370.0,4545,15.342885
660.0,1553,16.356237
740.0,1993,17.594494
1450.0,3849,20.028081
770.0,2337,21.183576
860.0,2497,70.65293
710.0,1657,94.610462
720.0,1857,117.69933
590.0,1833,136.459396
570.0,2313,158.131672
1040.0,3105,189.440487
640.0,2489,211.236707
1970.0,6881,277.231066
860.0,3729,316.862192
540.0,2169,353.535318
930.0,2825,406.66731
650.0,1921,446.096361
730.0,2281,467.508332
1010.0,3385,507.008642
